Order_ID,Order_Date,Product_Category,Product_SKU,Quantity_Units,Production_Facility,Customer_Region,Order_Priority,Scheduled_Lead_Time_Days,Actual_Lead_Time_Days,Delivery_Status,Calculated_Risk_Score,Machine_Utilization_Pct,Quality_Score,Revenue_EUR,Profit_EUR,Order_Month,Order_Quarter,Order_Year,Day_of_Week,Is_Peak_Season
FED-000013,2024-05-20,Wine_Labels,WIN-2040,27873,Verona_IT,Italy,Standard,3,3,On_Time,0.08,93.5,97.7,4180.95,1499.8,5,2,2024,Monday,0
FED-000014,2024-01-30,Luxury_Packaging,LUX-2876,5848,Chicago_US,Asia_Pacific,Standard,7,6,On_Time,0.228,93.6,96.6,14620.0,4767.99,1,1,2024,Tuesday,0
FED-000015,2024-11-29,Self_Adhesive_Materials,SEL-1053,73925,Barcelona_ES,Rest_of_Europe,Standard,6,6,On_Time,0.119,66.0,96.6,5914.0,1611.81,11,4,2024,Friday,0
FED-000016,2023-09-27,Art_Design_Papers,ART-9317,2162,Fabriano_IT,Italy,Standard,7,7,On_Time,0.329,98.0,95.0,2594.4,765.16,9,3,2023,Wednesday,1
FED-000017,2024-09-15,Wine_Labels,WIN-1009,79557,Barcelona_ES,Rest_of_Europe,Standard,4,4,On_Time,0.119,85.3,94.0,11933.55,4331.52,9,3,2024,Sunday,1
FED-000018,2024-09-05,Wine_Labels,WIN-4923,60028,Verona_IT,Rest_of_Europe,Express,6,6,On_Time,0.074,93.9,95.6,9004.2,2599.13,9,3,2024,Thursday,1
FED-000019,2023-03-01,Wine_Labels,WIN-9727,51941,Sao_Paulo_BR,Italy,Economy,6,5,On_Time,0.111,80.2,94.3,7791.15,2281.2,3,1,2023,Wednesday,0
FED-000020,2023-05-09,Wine_Labels,WIN-4470,75474,Chicago_US,Italy,Economy,4,4,On_Time,0.119,65.8,95.7,11321.1,3308.15,5,2,2023,Tuesday,0
FED-000021,2024-07-06,Self_Adhesive_Materials,SEL-9479,64718,Fabriano_IT,Rest_of_Europe,Standard,2,2,On_Time,0.19,87.5,95.8,5177.44,1666.51,7,3,2024,Saturday,1
FED-000022,2024-04-07,Wine_Labels,WIN-1117,31138,Fabriano_IT,Italy,Critical,7,7,On_Time,0.028,86.3,91.7,4670.7,1401.62,4,2,2024,Sunday,0
FED-000023,2023-03-14,Self_Adhesive_Materials,SEL-4899,76806,Verona_IT,Asia_Pacific,Express,7,6,On_Time,0.065,84.3,95.6,6144.48,1748.04,3,1,2023,Tuesday,0
FED-000024,2023-10-13,Self_Adhesive_Materials,SEL-4981,85194,Fabriano_IT,Americas,Standard,3,3,On_Time,0.251,95.5,92.7,6815.52,2359.27,10,4,2023,Friday,1
FED-000025,2024-04-29,Self_Adhesive_Materials,SEL-1887,98730,Fabriano_IT,Rest_of_Europe,Critical,2,2,On_Time,0.105,97.6,92.2,7898.4,2632.96,4,2,2024,Monday,0
FED-000026,2024-11-20,Self_Adhesive_Materials,SEL-4139,48580,Verona_IT,Americas,Critical,4,4,On_Time,0.046,83.1,96.8,3886.4,1121.82,11,4,2024,Wednesday,0
FED-000027,2023-07-14,Luxury_Packaging,LUX-8260,10398,Fabriano_IT,Rest_of_Europe,Standard,7,7,On_Time,0.193,76.4,95.1,25995.0,8695.78,7,3,2023,Friday,1
FED-000028,2024-07-17,Wine_Labels,WIN-3724,60726,Sao_Paulo_BR,Asia_Pacific,Standard,3,3,On_Time,0.18,93.8,94.7,9108.9,2584.67,7,3,2024,Wednesday,1
FED-000029,2024-02-21,Luxury_Packaging,LUX-7396,6866,Fabriano_IT,Asia_Pacific,Standard,7,8,Slightly_Late,0.179,91.7,92.5,17165.0,5179.06,2,1,2024,Wednesday,0
FED-000030,2023-09-29,Art_Design_Papers,ART-8973,7727,Chicago_US,Rest_of_Europe,Express,9,9,On_Time,0.346,89.2,94.6,9272.4,3335.48,9,3,2023,Friday,1
FED-000031,2023-06-08,Wine_Labels,WIN-1936,55197,Fabriano_IT,Rest_of_Europe,Economy,6,6,On_Time,0.09,77.7,92.4,8279.55,2836.54,6,2,2023,Thursday,0
FED-000032,2023-02-21,Luxury_Packaging,LUX-4044,12470,Sao_Paulo_BR,Rest_of_Europe,Economy,9,11,Slightly_Late,0.399,87.0,96.7,31175.0,6887.17,2,1,2023,Tuesday,0
FED-000033,2023-03-12,Luxury_Packaging,LUX-1651,11172,Fabriano_IT,Asia_Pacific,Standard,6,6,On_Time,0.216,98.0,95.9,27930.0,9362.03,3,1,2023,Sunday,0
FED-000034,2024-09-26,Wine_Labels,WIN-6147,64690,Sao_Paulo_BR,Rest_of_Europe,Standard,3,3,On_Time,0.192,85.8,92.7,9703.5,3344.3,9,3,2024,Thursday,1
FED-000035,2023-09-02,Wine_Labels,WIN-2188,69267,Fabriano_IT,Rest_of_Europe,Standard,5,5,On_Time,0.121,98.0,98.8,10390.05,2902.64,9,3,2023,Saturday,1
FED-000036,2023-01-10,Luxury_Packaging,LUX-6718,4520,Sao_Paulo_BR,Italy,Economy,6,7,Slightly_Late,0.384,92.8,94.5,11300.0,3199.19,1,1,2023,Tuesday,0
FED-000037,2023-03-12,Self_Adhesive_Materials,SEL-9666,75390,Barcelona_ES,Rest_of_Europe,Express,6,6,On_Time,0.076,83.7,100.4,6031.2,1746.18,3,1,2023,Sunday,0
FED-000038,2023-01-09,Self_Adhesive_Materials,SEL-2891,46109,Sao_Paulo_BR,Rest_of_Europe,Express,5,5,On_Time,0.108,86.1,94.7,3688.72,1061.29,1,1,2023,Monday,0
FED-000039,2023-04-20,Self_Adhesive_Materials,SEL-5325,68296,Fabriano_IT,Rest_of_Europe,Express,5,5,On_Time,0.1,90.2,94.9,5463.68,2001.68,4,2,2023,Thursday,0
FED-000040,2024-06-01,Luxury_Packaging,LUX-3143,8190,Verona_IT,Rest_of_Europe,Critical,9,8,On_Time,0.106,96.0,94.3,20475.0,6177.15,6,2,2024,Saturday,0
FED-000041,2024-10-14,Art_Design_Papers,ART-2232,5428,Fabriano_IT,Rest_of_Europe,Standard,4,3,On_Time,0.349,90.8,95.8,6513.6,2129.99,10,4,2024,Monday,1
FED-000042,2024-12-08,Art_Design_Papers,ART-1685,5461,Sao_Paulo_BR,Rest_of_Europe,Critical,4,4,On_Time,0.203,94.9,95.1,6553.2,2254.8,12,4,2024,Sunday,0
FED-000043,2023-11-12,Luxury_Packaging,LUX-7658,14332,Verona_IT,Rest_of_Europe,Standard,9,9,On_Time,0.173,76.0,93.1,35830.0,12574.04,11,4,2023,Sunday,0
FED-000044,2024-09-27,Self_Adhesive_Materials,SEL-1406,84133,Fabriano_IT,Asia_Pacific,Standard,4,4,On_Time,0.224,92.0,96.7,6730.64,2154.83,9,3,2024,Friday,1
FED-000045,2023-07-03,Self_Adhesive_Materials,SEL-5065,92126,Barcelona_ES,Rest_of_Europe,Standard,5,5,On_Time,0.206,96.4,96.3,7370.08,2645.86,7,3,2023,Monday,1
FED-000046,2023-10-01,Wine_Labels,WIN-8541,26948,Verona_IT,Italy,Standard,2,2,On_Time,0.096,90.7,93.3,4042.2,1105.92,10,4,2023,Sunday,1
FED-000047,2023-12-25,Wine_Labels,WIN-2137,96293,Fabriano_IT,Rest_of_Europe,Express,2,2,On_Time,0.085,91.9,91.8,14443.95,3943.92,12,4,2023,Monday,0
FED-000048,2023-10-13,Luxury_Packaging,LUX-2889,6427,Sao_Paulo_BR,Asia_Pacific,Standard,7,7,On_Time,0.364,98.0,95.3,16067.5,4685.0,10,4,2023,Friday,1
FED-000049,2023-09-25,Wine_Labels,WIN-8149,35392,Barcelona_ES,Rest_of_Europe,Critical,5,5,On_Time,0.054,92.2,93.7,5308.8,1720.39,9,3,2023,Monday,1
FED-000050,2024-09-12,Art_Design_Papers,ART-1027,7726,Verona_IT,Rest_of_Europe,Standard,7,10,Late,0.426,91.9,95.9,9271.2,2339.08,9,3,2024,Thursday,1
FED-000051,2024-06-16,Art_Design_Papers,ART-8066,3676,Sao_Paulo_BR,Asia_Pacific,Standard,7,7,On_Time,0.287,81.3,94.8,4411.2,1202.21,6,2,2024,Sunday,0
FED-000052,2023-03-13,Art_Design_Papers,ART-9308,3456,Barcelona_ES,Rest_of_Europe,Standard,8,12,Late,0.18,83.1,94.4,4147.2,1016.16,3,1,2023,Monday,0
FED-000053,2023-11-13,Self_Adhesive_Materials,SEL-7211,127963,Barcelona_ES,Rest_of_Europe,Standard,4,6,Slightly_Late,0.145,76.9,96.8,10237.04,3229.65,11,4,2023,Monday,0
FED-000054,2024-11-24,Self_Adhesive_Materials,SEL-5700,86318,Fabriano_IT,Rest_of_Europe,Standard,6,5,On_Time,0.115,76.4,98.7,6905.44,2035.54,11,4,2024,Sunday,0
FED-000055,2023-08-04,Luxury_Packaging,LUX-9375,15067,Sao_Paulo_BR,Rest_of_Europe,Standard,6,9,Late,0.529,94.8,96.5,37667.5,10072.94,8,3,2023,Friday,1
FED-000056,2024-04-29,Self_Adhesive_Materials,SEL-2530,74416,Fabriano_IT,Rest_of_Europe,Standard,2,2,On_Time,0.136,76.0,94.8,5953.28,1865.67,4,2,2024,Monday,0
FED-000057,2023-08-29,Self_Adhesive_Materials,SEL-2193,123972,Fabriano_IT,Italy,Standard,2,7,Late,0.278,87.7,95.3,9917.76,2553.44,8,3,2023,Tuesday,1
FED-000058,2024-04-11,Luxury_Packaging,LUX-1090,10234,Sao_Paulo_BR,Rest_of_Europe,Express,11,11,On_Time,0.195,89.6,96.8,25585.0,7324.82,4,2,2024,Thursday,0
FED-000059,2023-04-20,Self_Adhesive_Materials,SEL-5082,80971,Fabriano_IT,Asia_Pacific,Express,3,2,On_Time,0.117,87.0,94.2,6477.68,2358.02,4,2,2023,Thursday,0
FED-000060,2023-05-05,Luxury_Packaging,LUX-8251,2410,Chicago_US,Asia_Pacific,Standard,9,9,On_Time,0.16,82.1,99.2,6025.0,1955.48,5,2,2023,Friday,0
FED-000061,2024-09-19,Self_Adhesive_Materials,SEL-8777,70446,Sao_Paulo_BR,Asia_Pacific,Standard,4,4,On_Time,0.312,94.0,93.8,5635.68,1561.75,9,3,2024,Thursday,1
FED-000062,2024-04-05,Wine_Labels,WIN-4919,67699,Fabriano_IT,Rest_of_Europe,Standard,4,4,On_Time,0.058,81.4,94.3,10154.85,3449.34,4,2,2024,Friday,0
FED-000063,2023-10-09,Luxury_Packaging,LUX-3471,13598,Barcelona_ES,Rest_of_Europe,Express,8,7,On_Time,0.235,95.9,96.3,33995.0,10137.43,10,4,2023,Monday,1
FED-000064,2023-08-25,Luxury_Packaging,LUX-7812,12206,Fabriano_IT,Italy,Standard,6,6,On_Time,0.238,76.9,92.6,30515.0,10608.27,8,3,2023,Friday,1
FED-000065,2023-03-05,Wine_Labels,WIN-7232,60941,Chicago_US,Americas,Standard,4,3,On_Time,0.066,84.1,97.2,9141.15,3154.49,3,1,2023,Sunday,0
FED-000066,2024-05-03,Wine_Labels,WIN-9818,41841,Barcelona_ES,Rest_of_Europe,Express,5,5,On_Time,0.048,87.1,96.9,6276.15,2213.26,5,2,2024,Friday,0
FED-000067,2024-07-13,Self_Adhesive_Materials,SEL-7624,95458,Fabriano_IT,Rest_of_Europe,Standard,3,3,On_Time,0.25,91.4,94.7,7636.64,2787.84,7,3,2024,Saturday,1
FED-000068,2023-06-19,Self_Adhesive_Materials,SEL-1444,132369,Fabriano_IT,Rest_of_Europe,Economy,5,5,On_Time,0.214,73.3,94.1,10589.52,3207.21,6,2,2023,Monday,0
FED-000069,2023-03-27,Self_Adhesive_Materials,SEL-8449,109743,Fabriano_IT,Italy,Standard,5,5,On_Time,0.158,90.8,96.3,8779.44,2450.52,3,1,2023,Monday,0
FED-000070,2023-12-01,Wine_Labels,WIN-8705,36017,Chicago_US,Asia_Pacific,Express,4,4,On_Time,0.042,69.7,98.5,5402.55,1938.28,12,4,2023,Friday,0
FED-000071,2023-01-20,Self_Adhesive_Materials,SEL-1659,50235,Verona_IT,Rest_of_Europe,Economy,3,3,On_Time,0.194,89.1,93.9,4018.8,1333.53,1,1,2023,Friday,0
FED-000072,2023-02-01,Art_Design_Papers,ART-2874,4133,Fabriano_IT,Rest_of_Europe,Standard,6,6,On_Time,0.196,89.7,96.7,4959.6,1379.44,2,1,2023,Wednesday,0
FED-000073,2024-07-31,Art_Design_Papers,ART-2876,2103,Chicago_US,Americas,Standard,3,5,Slightly_Late,0.312,83.1,94.6,2523.6,751.31,7,3,2024,Wednesday,1
FED-000074,2023-06-17,Art_Design_Papers,ART-7149,1000,Verona_IT,Asia_Pacific,Standard,8,8,On_Time,0.179,85.2,95.0,1200.0,380.24,6,2,2023,Saturday,0
FED-000075,2024-02-11,Art_Design_Papers,ART-5941,5645,Fabriano_IT,Rest_of_Europe,Critical,4,4,On_Time,0.107,89.4,98.1,6774.0,2480.76,2,1,2024,Sunday,0
FED-000076,2024-12-01,Self_Adhesive_Materials,SEL-7071,31631,Verona_IT,Rest_of_Europe,Standard,2,4,Slightly_Late,0.104,83.7,95.9,2530.48,800.45,12,4,2024,Sunday,0
FED-000077,2023-03-12,Luxury_Packaging,LUX-6934,10896,Barcelona_ES,Rest_of_Europe,Critical,8,8,On_Time,0.1,86.6,93.5,27240.0,9995.18,3,1,2023,Sunday,0
FED-000078,2024-10-12,Self_Adhesive_Materials,SEL-5425,143272,Chicago_US,Rest_of_Europe,Standard,4,4,On_Time,0.253,85.9,98.7,11461.76,3813.97,10,4,2024,Saturday,1
FED-000079,2024-09-22,Self_Adhesive_Materials,SEL-6280,101169,Sao_Paulo_BR,Rest_of_Europe,Standard,4,4,On_Time,0.351,98.0,93.4,8093.52,2409.75,9,3,2024,Sunday,1
FED-000080,2023-09-09,Self_Adhesive_Materials,SEL-7209,70268,Verona_IT,Rest_of_Europe,Express,2,2,On_Time,0.178,98.0,91.4,5621.44,1561.49,9,3,2023,Saturday,1
FED-000081,2023-12-11,Wine_Labels,WIN-5526,56835,Barcelona_ES,Rest_of_Europe,Express,7,7,On_Time,0.058,94.0,93.8,8525.25,2885.57,12,4,2023,Monday,0
FED-000082,2024-07-23,Wine_Labels,WIN-8800,64839,Fabriano_IT,Americas,Critical,7,7,On_Time,0.048,94.4,94.7,9725.85,3468.3,7,3,2024,Tuesday,1
FED-000083,2024-10-23,Self_Adhesive_Materials,SEL-6016,110383,Chicago_US,Italy,Standard,3,6,Late,0.246,75.7,97.7,8830.64,2799.24,10,4,2024,Wednesday,1
FED-000084,2024-11-10,Luxury_Packaging,LUX-6764,11102,Chicago_US,Rest_of_Europe,Standard,8,8,On_Time,0.214,67.4,93.2,27755.0,8252.69,11,4,2024,Sunday,0
FED-000085,2024-12-20,Luxury_Packaging,LUX-9779,10020,Barcelona_ES,Italy,Express,8,8,On_Time,0.12,82.8,96.2,25050.0,7892.11,12,4,2024,Friday,0
FED-000086,2024-12-07,Wine_Labels,WIN-5636,22628,Fabriano_IT,Rest_of_Europe,Standard,5,5,On_Time,0.061,94.9,98.1,3394.2,1038.0,12,4,2024,Saturday,0
FED-000087,2023-04-13,Self_Adhesive_Materials,SEL-5494,84969,Barcelona_ES,Italy,Express,2,4,Slightly_Late,0.151,98.0,95.2,6797.52,1849.04,4,2,2023,Thursday,0
FED-000088,2023-02-16,Art_Design_Papers,ART-2680,5339,Sao_Paulo_BR,Asia_Pacific,Express,7,7,On_Time,0.252,93.4,95.3,6406.8,1988.34,2,1,2023,Thursday,0
FED-000089,2023-01-13,Luxury_Packaging,LUX-8827,12581,Chicago_US,Rest_of_Europe,Standard,10,10,On_Time,0.201,78.1,96.4,31452.5,8921.1,1,1,2023,Friday,0
FED-000090,2023-04-27,Self_Adhesive_Materials,SEL-5978,23073,Chicago_US,Rest_of_Europe,Standard,6,6,On_Time,0.145,93.5,94.7,1845.84,562.66,4,2,2023,Thursday,0
FED-000091,2023-03-29,Art_Design_Papers,ART-9561,8004,Verona_IT,Rest_of_Europe,Standard,6,6,On_Time,0.278,98.0,92.2,9604.8,3421.58,3,1,2023,Wednesday,0
FED-000092,2024-01-25,Luxury_Packaging,LUX-1986,9941,Chicago_US,Rest_of_Europe,Express,9,9,On_Time,0.13,83.5,91.7,24852.5,9145.8,1,1,2024,Thursday,0
FED-000093,2024-09-16,Art_Design_Papers,ART-3573,1000,Verona_IT,Italy,Economy,5,8,Late,0.298,81.4,96.3,1200.0,273.1,9,3,2024,Monday,1
FED-000094,2023-09-03,Wine_Labels,WIN-1534,27974,Verona_IT,Rest_of_Europe,Express,5,5,On_Time,0.061,97.8,94.4,4196.1,1331.83,9,3,2023,Sunday,1
FED-000095,2023-08-26,Wine_Labels,WIN-4241,30285,Barcelona_ES,Rest_of_Europe,Standard,5,5,On_Time,0.086,87.0,93.4,4542.75,1306.95,8,3,2023,Saturday,1
FED-000096,2024-03-11,Wine_Labels,WIN-3718,21318,Fabriano_IT,Asia_Pacific,Standard,4,3,On_Time,0.049,86.3,90.4,3197.7,1084.15,3,1,2024,Monday,0
FED-000097,2023-11-11,Luxury_Packaging,LUX-7594,7201,Sao_Paulo_BR,Rest_of_Europe,Economy,8,8,On_Time,0.401,86.1,94.6,18002.5,6312.04,11,4,2023,Saturday,0
FED-000098,2023-10-06,Luxury_Packaging,LUX-5102,7054,Chicago_US,Rest_of_Europe,Standard,8,8,On_Time,0.272,85.0,92.5,17635.0,5615.91,10,4,2023,Friday,1
FED-000099,2023-01-27,Wine_Labels,WIN-1659,19696,Sao_Paulo_BR,Italy,Standard,7,7,On_Time,0.084,98.0,94.5,2954.4,808.53,1,1,2023,Friday,0
FED-000100,2023-06-29,Luxury_Packaging,LUX-9056,13405,Chicago_US,Italy,Economy,6,6,On_Time,0.431,87.8,96.9,33512.5,10831.62,6,2,2023,Thursday,0
FED-000101,2023-04-04,Luxury_Packaging,LUX-9117,9488,Chicago_US,Rest_of_Europe,Express,6,6,On_Time,0.136,73.5,95.4,23720.0,7043.04,4,2,2023,Tuesday,0
FED-000102,2023-10-23,Self_Adhesive_Materials,SEL-6296,69392,Chicago_US,Rest_of_Europe,Standard,3,3,On_Time,0.21,80.9,93.7,5551.36,1680.67,10,4,2023,Monday,1
FED-000103,2023-04-29,Art_Design_Papers,ART-8569,8374,Chicago_US,Americas,Standard,7,11,Late,0.347,86.3,98.0,10048.8,2298.08,4,2,2023,Saturday,0
FED-000104,2024-02-28,Wine_Labels,WIN-4335,97486,Sao_Paulo_BR,Americas,Standard,6,6,On_Time,0.088,81.7,98.2,14622.9,4134.74,2,1,2024,Wednesday,0
FED-000105,2023-10-01,Luxury_Packaging,LUX-4920,6497,Barcelona_ES,Rest_of_Europe,Standard,5,10,Late,0.271,96.8,98.8,16242.5,4151.74,10,4,2023,Sunday,1
FED-000106,2024-12-27,Wine_Labels,WIN-2858,50553,Sao_Paulo_BR,Rest_of_Europe,Critical,5,5,On_Time,0.039,83.5,94.5,7582.95,2163.31,12,4,2024,Friday,0
FED-000107,2024-04-17,Art_Design_Papers,ART-8905,3698,Fabriano_IT,Americas,Standard,5,5,On_Time,0.177,81.7,93.3,4437.6,1275.09,4,2,2024,Wednesday,0
FED-000108,2024-04-28,Wine_Labels,WIN-3236,1000,Sao_Paulo_BR,Italy,Express,6,6,On_Time,0.046,89.5,94.8,150.0,53.48,4,2,2024,Sunday,0
FED-000109,2023-03-13,Wine_Labels,WIN-5891,38464,Chicago_US,Americas,Express,6,5,On_Time,0.049,89.8,93.0,5769.6,2094.0,3,1,2023,Monday,0
FED-000110,2024-08-24,Luxury_Packaging,LUX-9903,18173,Chicago_US,Rest_of_Europe,Standard,10,11,Slightly_Late,0.487,98.0,93.5,45432.5,10844.94,8,3,2024,Saturday,1
FED-000111,2024-01-22,Luxury_Packaging,LUX-7730,6946,Barcelona_ES,Asia_Pacific,Standard,5,5,On_Time,0.147,72.8,95.1,17365.0,4887.96,1,1,2024,Monday,0
FED-000112,2023-02-14,Wine_Labels,WIN-3492,19514,Chicago_US,Americas,Standard,6,6,On_Time,0.048,76.1,95.5,2927.1,931.15,2,1,2023,Tuesday,0
FED-000113,2024-05-22,Art_Design_Papers,ART-8213,3696,Fabriano_IT,Rest_of_Europe,Standard,6,6,On_Time,0.187,80.1,94.2,4435.2,1225.61,5,2,2024,Wednesday,0
FED-000114,2023-04-13,Luxury_Packaging,LUX-2225,7592,Chicago_US,Italy,Critical,9,9,On_Time,0.128,95.3,96.5,18980.0,6255.12,4,2,2023,Thursday,0
FED-000115,2024-04-25,Self_Adhesive_Materials,SEL-9742,1000,Barcelona_ES,Rest_of_Europe,Express,2,2,On_Time,0.102,91.0,94.6,80.0,28.24,4,2,2024,Thursday,0
FED-000116,2024-01-25,Art_Design_Papers,ART-5708,5339,Chicago_US,Italy,Standard,6,8,Slightly_Late,0.279,89.7,98.2,6406.8,1948.84,1,1,2024,Thursday,0
FED-000117,2023-08-21,Self_Adhesive_Materials,SEL-3725,85128,Chicago_US,Americas,Economy,3,3,On_Time,0.454,87.3,94.1,6810.24,1950.63,8,3,2023,Monday,1
FED-000118,2024-12-11,Wine_Labels,WIN-3385,60869,Verona_IT,Americas,Critical,6,6,On_Time,0.026,68.7,95.7,9130.35,3266.11,12,4,2024,Wednesday,0
FED-000119,2023-09-08,Luxury_Packaging,LUX-7267,14804,Sao_Paulo_BR,Italy,Standard,7,9,Slightly_Late,0.389,75.5,93.0,37010.0,9854.58,9,3,2023,Friday,1
FED-000120,2024-09-26,Self_Adhesive_Materials,SEL-5183,106547,Chicago_US,Italy,Economy,2,2,On_Time,0.424,79.2,95.0,8523.76,3068.19,9,3,2024,Thursday,1
FED-000121,2024-11-13,Wine_Labels,WIN-6661,66588,Chicago_US,Rest_of_Europe,Economy,2,4,Slightly_Late,0.178,88.9,96.5,9988.2,2314.16,11,4,2024,Wednesday,0
FED-000122,2024-08-24,Wine_Labels,WIN-8916,53303,Chicago_US,Rest_of_Europe,Standard,5,5,On_Time,0.095,84.2,94.2,7995.45,2793.63,8,3,2024,Saturday,1
FED-000123,2023-04-20,Wine_Labels,WIN-7484,62655,Sao_Paulo_BR,Rest_of_Europe,Standard,8,7,On_Time,0.099,87.9,95.5,9398.25,2680.08,4,2,2023,Thursday,0
FED-000124,2023-10-09,Wine_Labels,WIN-4770,28172,Verona_IT,Americas,Economy,3,3,On_Time,0.145,98.0,95.8,4225.8,1511.47,10,4,2023,Monday,1
FED-000125,2024-09-13,Self_Adhesive_Materials,SEL-3240,106126,Fabriano_IT,Rest_of_Europe,Standard,3,3,On_Time,0.271,89.6,93.0,8490.08,2969.23,9,3,2024,Friday,1
FED-000126,2024-10-05,Wine_Labels,WIN-2476,41451,Verona_IT,Rest_of_Europe,Express,4,4,On_Time,0.057,97.1,96.9,6217.65,2077.41,10,4,2024,Saturday,1
FED-000127,2023-10-30,Wine_Labels,WIN-9697,58268,Chicago_US,Italy,Express,7,7,On_Time,0.061,83.2,92.5,8740.2,2518.57,10,4,2023,Monday,1
FED-000128,2024-05-28,Art_Design_Papers,ART-6549,5341,Fabriano_IT,Americas,Express,7,7,On_Time,0.145,79.9,90.4,6409.2,2337.62,5,2,2024,Tuesday,0
FED-000129,2023-04-28,Luxury_Packaging,LUX-7511,11119,Verona_IT,Asia_Pacific,Express,6,6,On_Time,0.147,98.0,95.3,27797.5,7555.67,4,2,2023,Friday,0
FED-000130,2024-07-24,Luxury_Packaging,LUX-5295,17128,Chicago_US,Rest_of_Europe,Critical,8,8,On_Time,0.202,90.5,95.9,42820.0,12214.57,7,3,2024,Wednesday,1
FED-000131,2024-08-21,Luxury_Packaging,LUX-6374,17528,Barcelona_ES,Rest_of_Europe,Express,10,14,Late,0.292,98.0,94.0,43820.0,13734.8,8,3,2024,Wednesday,1
FED-000132,2024-09-16,Wine_Labels,WIN-2911,48195,Verona_IT,Rest_of_Europe,Standard,6,6,On_Time,0.099,98.0,96.0,7229.25,2240.35,9,3,2024,Monday,1
FED-000133,2023-05-24,Wine_Labels,WIN-3222,46839,Verona_IT,Rest_of_Europe,Express,4,4,On_Time,0.035,78.9,91.7,7025.85,2274.55,5,2,2023,Wednesday,0
FED-000134,2024-02-02,Luxury_Packaging,LUX-2622,9080,Sao_Paulo_BR,Americas,Standard,8,10,Slightly_Late,0.281,95.4,93.4,22700.0,6020.53,2,1,2024,Friday,0
FED-000135,2024-05-16,Self_Adhesive_Materials,SEL-6942,67212,Barcelona_ES,Rest_of_Europe,Critical,2,2,On_Time,0.091,85.0,94.5,5376.96,1719.75,5,2,2024,Thursday,0
FED-000136,2023-04-12,Art_Design_Papers,ART-4109,6608,Barcelona_ES,Asia_Pacific,Standard,5,5,On_Time,0.321,95.0,91.3,7929.6,2642.35,4,2,2023,Wednesday,0
FED-000137,2023-05-06,Art_Design_Papers,ART-1828,4462,Chicago_US,Rest_of_Europe,Critical,4,4,On_Time,0.171,98.0,95.1,5354.4,1481.6,5,2,2023,Saturday,0
FED-000138,2023-12-08,Wine_Labels,WIN-4538,34349,Fabriano_IT,Italy,Standard,6,6,On_Time,0.057,85.5,95.3,5152.35,1489.38,12,4,2023,Friday,0
